Index,phases1full_col0,phases1full_col1,phases1full_col2,phases1full_col3,phases1full_col4,phases3full_col0,phases3full_col1,phases3full_col2,phases3full_col3,phases3full_col4,phases5full_col0,phases5full_col1,phases5full_col2,phases5full_col3,phases5full_col4,phases7full_col0,phases7full_col1,phases7full_col2,phases7full_col3,phases7full_col4,phases9full_col0,phases9full_col1,phases9full_col2,phases9full_col3,phases9full_col4,phases11full_col0,phases11full_col1,phases11full_col2,phases11full_col3,phases11full_col4,phases11full_col5,phases11full_col6,phases11full_col7,phases11full_col8,phases11full_col9,phases11full_col10,phases13full_col0,phases13full_col1,phases13full_col2,phases13full_col3,phases13full_col4,phases13full_col5,phases13full_col6,phases13full_col7,phases13full_col8,phases13full_col9,phases13full_col10,phases15full_col0,phases15full_col1,phases15full_col2,phases15full_col3,phases15full_col4,phases15full_col5,phases15full_col6,phases15full_col7,phases15full_col8,phases15full_col9,phases15full_col10,phases1fine_col0,phases1fine_col1,phases1fine_col2,phases1fine_col3,phases1fine_col4,phases1fine_col5,phases1fine_col6,phases3fine_col0,phases3fine_col1,phases3fine_col2,phases3fine_col3,phases3fine_col4,phases3fine_col5,phases3fine_col6,phases5fine_col0,phases5fine_col1,phases5fine_col2,phases5fine_col3,phases5fine_col4,phases5fine_col5,phases5fine_col6,phases7fine_col0,phases7fine_col1,phases7fine_col2,phases7fine_col3,phases7fine_col4,phases7fine_col5,phases7fine_col6,phases9fine_col0,phases9fine_col1,phases9fine_col2,phases9fine_col3,phases9fine_col4,phases9fine_col5,phases9fine_col6,phases11fine_col0,phases11fine_col1,phases11fine_col2,phases11fine_col3,phases11fine_col4,phases11fine_col5,phases11fine_col6,phases13fine_col0,phases13fine_col1,phases13fine_col2,phases13fine_col3,phases13fine_col4,phases13fine_col5,phases13fine_col6,phases15fine_col0,phases15fine_col1,phases15fine_col2,phases15fine_col3,phases15fine_col4,phases15fine_col5,phases15fine_col6
0,-0.139999,41.0,84.999985,-229.000015,-183.820007,-0.02002,-321.960022,-275.920013,-229.899994,-184.240005,0.059998,38.23999,83.119995,-231.320007,-185.279999,-0.119995,37.820007,85.099991,-228.160004,-181.419998,0.099991,45.919998,84.699997,130.940002,176.380005,-0.040001,20.279999,34.579994,54.319992,74.23999,88.179993,-251.740005,-230.720001,-217.619995,-198.700012,-178.639999,0.08,15.460011,32.220001,51.940014,67.5,88.800003,-261.019989,-239.680008,-222.0,-203.139999,-185.559998,-5.339999,9.599999,25.52,44.859989,57.839996,77.620003,86.559998,-255.320007,-240.300003,-220.400009,-207.100006,3.16,5.800001,-0.5,1.980001,2.16,5.02001,5.800001,28.699997,21.820007,23.460007,25.479996,28.339996,31.399994,32.419998,47.560001,50.02,52.380001,54.5,52.880001,55.620003,50.280003,55.520004,58.380005,60.380005,62.959999,65.639999,68.160004,70.660004,74.479996,77.759995,80.779991,84.919991,88.199997,90.939995,94.319992,-243.999985,-254.279984,-251.079987,-247.759995,-243.179993,-243.359985,-239.939987,-247.5,-245.799988,-241.5,-237.779999,-234.819992,-241.87999,-239.659988,-221.419998,-219.860001,-214.059998,-211.619995,-209.5,-208.0,-208.360001
1,-268.040009,-228.76001,-186.860016,-142.700012,-98.540001,-91.980011,-54.02002,-7.320007,-320.600006,-274.540009,-270.839996,-232.360001,-187.179993,-141.020004,-95.240005,-91.419998,-53.459991,-5.959991,41.0,87.360001,91.499992,136.360001,175.300003,-138.940018,-90.520004,-96.139999,-73.940002,-59.960003,-39.020004,-17.600006,-4.260002,15.479996,35.839996,49.0,67.619995,87.279999,-257.23999,-240.279999,-220.460007,-203.5,-184.660004,-168.139999,-154.199997,-134.979996,-120.440002,-100.820007,-83.440002,-133.62001,-129.940002,-119.920013,-104.620003,-83.68,-76.18,-62.100002,-43.760002,-38.360001,-11.48,16.880001,-265.839996,-263.059998,89.100006,-268.179993,-265.940002,-265.319977,-263.559998,-63.720013,-70.539993,-68.479996,-66.639999,-63.619999,-60.999996,-59.02,-222.839996,-220.399994,-218.380005,-216.0,-217.779999,-214.920013,-220.119995,-35.539993,-33.139999,-30.740005,-27.839996,-25.580002,-22.860001,-20.559998,165.320007,167.699997,171.880005,175.759995,179.259995,182.679993,185.580002,6.76001,15.240013,19.600014,22.580009,26.460014,25.520012,29.820007,-141.159988,-137.23999,-134.919998,-132.279999,-128.520004,-135.479996,-132.599991,10.360005,-338.980011,10.539998,-337.040009,-335.660004,-330.160004,-332.5
2,-178.860016,-144.720001,-90.700005,-46.279999,-6.66,-176.660019,-139.460007,-92.62001,-46.320007,-0.540009,-172.52002,-134.860016,-89.860016,-43.780014,2.619995,-170.259995,-132.679993,-86.0,-38.979996,8.300003,196.820007,-117.100021,-77.100021,-29.840012,16.759995,-170.020004,-150.660004,-136.539993,-117.019989,-95.419998,-81.860001,-60.640003,-38.900002,-25.0,-4.5,15.439995,-157.660004,-144.979996,-123.360001,-108.539993,-84.699997,-71.360001,-53.84,-32.700001,-11.34,2.880001,24.0,-222.559998,-201.059998,-189.400009,-147.76001,-119.780014,-72.18,-49.18,-41.220001,-22.02,-1.639999,6.280011,-177.519989,-174.179977,-181.97998,-179.899979,-178.819977,-176.319977,-174.819977,-148.200012,-154.680008,-152.76001,-150.700012,-147.880005,-145.300003,-143.639999,-124.840004,-122.660011,-120.380013,-118.260002,-120.060005,-117.320015,-122.660011,-114.200012,-111.600006,-109.920013,-106.720001,-103.940002,-101.979996,-99.520004,-89.419998,-86.000015,-82.259995,-78.280014,-74.12001,-70.759995,-67.940018,-77.080002,-54.919998,-50.799999,-47.139999,-43.339996,-42.939999,-40.259998,-34.580002,-33.639999,-29.639999,-23.959999,-20.92,-21.440001,-22.98,-19.39999,-5.239989,-6.719991,-1.59999,2.600011,3.780011,4.260007
3,-91.700005,-52.040001,-8.32,37.620003,83.259987,-275.019989,-236.360001,-190.920013,-145.460007,-99.360016,-98.500015,-60.180008,-15.620026,29.23999,74.660004,71.639999,-248.399994,-201.080002,-153.740005,-106.540001,-103.100021,-58.979996,-20.660004,24.360001,70.299988,57.059998,79.039993,-268.380005,-248.460007,-229.080002,-216.179993,-196.839996,-177.119995,-165.539993,-147.320007,-128.679993,-118.320007,-95.12001,-76.599998,-57.400002,-38.5,-18.9,-1.08,10.98,28.84,51.359997,67.059998,38.599998,38.899998,48.499989,58.739998,69.919998,88.099998,87.699997,-251.360001,-238.940002,-235.100006,-210.300003,-87.139999,-84.379997,-90.32,-89.519997,-88.400002,-86.68,-85.32,-246.740005,-253.080002,-251.62001,-249.460007,-247.160019,-244.599991,-242.900009,-50.740013,-48.640007,-46.900002,-44.060005,-45.560005,-42.980003,-47.660011,131.179993,133.679993,136.240005,138.399994,141.040009,142.860001,145.559998,-32.220001,-28.980011,-25.920013,-21.139999,-19.5,-16.600006,-13.960007,-122.459999,-203.579987,-199.820007,-195.139999,-192.220001,-192.960007,-188.5,11.859999,16.039991,19.399992,23.199991,26.500002,19.940001,23.140001,223.940002,204.26001,223.860001,220.480011,220.060013,210.139999,231.339996
4,-0.279999,-57.68,-94.440002,-137.12001,-184.300018,-7.860016,-60.340027,-104.000015,-148.200012,-192.660019,-15.380005,-67.76001,-112.440018,-156.76001,-200.600006,-27.979996,-79.720001,-122.199997,-164.240005,-206.580002,-26.660004,-72.840012,-125.780014,191.080002,145.479996,-55.300003,-70.220001,-92.860001,-109.940002,-126.800003,-149.720001,-164.920013,-182.039993,-205.540009,-222.199997,-239.139999,-48.68,-57.639999,-79.259995,-95.62001,-113.660004,-129.679993,-160.199997,-178.580002,-199.26001,-220.5,-239.820007,-30.32,-46.220001,-58.52,-63.580002,-101.980003,-94.139999,-184.680008,-219.960007,-247.580002,-255.279999,-268.180023,-15.639999,-14.039999,-19.120001,-19.66,-18.84,-17.5,-15.119999,-37.039997,-45.140003,-44.740002,-43.740002,-42.359997,-41.280003,-40.399998,-61.840004,-62.000008,-62.140007,-60.180016,-64.320015,-63.180016,-70.800011,-103.339996,-103.639999,-103.419998,-104.940002,-104.259995,-105.020004,-105.279999,-125.340012,-125.720016,-125.88002,-125.780014,-126.960007,-128.280014,-129.479996,-62.359997,-155.660004,-156.940002,-156.419998,-158.320007,-162.919998,-163.860001,-167.759995,-171.919998,-173.220001,-173.759995,-174.720001,-187.899994,-190.819992,-129.160004,-130.959991,-133.220001,-134.860001,-145.619995,-140.940002,-154.419998
5,-87.880005,-145.26001,-188.040009,-228.900009,86.23999,-267.480011,-320.200012,-4.680023,-49.320007,-92.940018,-87.700012,-140.220016,-184.580002,-228.720001,-272.519989,-269.5,39.279999,-3.220001,-46.599991,-90.099998,-84.979996,-129.62001,178.399994,132.779999,87.539993,84.660004,70.599991,46.580002,31.299995,14.199997,-8.87999,-26.000004,-41.760002,-66.040001,-82.980003,-98.860001,-86.419998,-97.559982,-121.26001,-130.5,-150.139999,-169.300003,-198.540009,-209.900009,-224.880005,-240.240005,-263.880005,38.099998,21.999989,10.06001,3.68,-6.08,-15.9,-33.639999,-39.919998,-59.799999,-101.199997,-165.12001,-103.540001,-100.959999,-109.020004,-108.040001,-106.099998,-104.880005,-102.980003,64.419998,56.040001,56.880001,57.84,59.200001,60.34,61.380001,-134.080017,-133.119995,-133.860016,-132.960022,-136.860016,-136.100006,-143.440002,13.919998,13.419998,13.139999,13.339996,13.419998,12.660004,12.699997,179.100006,178.339996,178.820007,178.960007,177.699997,176.380005,176.199997,18.44001,-18.959999,-19.5,-20.279999,-21.800011,-26.040001,-27.020004,-197.779999,-200.059998,-207.539993,-207.679993,-210.559998,-219.659988,-219.73999,-45.679989,-39.539989,-45.580002,-33.639992,-64.439995,-56.679989,-70.599983
6,-266.019989,36.240013,-8.12,-51.099998,-94.580002,-94.76001,-146.26001,-190.920013,-234.899994,-279.279999,85.399994,33.059998,-11.480011,-55.220016,-98.100006,-95.559998,-146.02002,-188.779999,-232.220001,83.900009,87.419998,44.899994,-3.800003,-48.160019,-94.699997,-101.639999,-117.37999,-138.320007,-154.920013,-169.220001,-189.399994,-206.080002,-222.619995,-245.540009,-264.320007,79.139999,84.240005,68.699997,53.440014,37.619991,20.360001,5.039989,-20.02,-34.5,-54.540001,-70.5,-90.539993,-138.320007,-166.020004,-182.0,-200.139999,-204.699997,-227.139999,-246.540009,80.779999,76.279999,56.739998,32.78001,79.720009,79.680008,72.980011,74.700012,73.94001,75.860008,76.140007,-121.840012,-129.360001,-129.160004,-127.900009,-126.720001,-125.600006,-124.940002,40.300003,40.580002,40.360001,41.5,37.740002,38.5,31.259995,-168.139984,-167.980011,-169.179993,-168.799988,-170.079987,-170.160004,-171.040009,-1.900009,-3.480011,-4.62001,-3.0,-3.980011,-5.580002,-5.660004,-183.839996,-202.37999,-204.099991,-203.779999,-205.639984,-209.37999,-210.119995,-41.900002,-35.080002,-40.080002,-44.259998,-46.400002,-58.379997,-59.879997,-220.059998,-236.459991,-253.479996,-197.979996,-213.279999,-218.440002,-229.179993
7,-185.880005,-232.500015,84.919991,40.300003,-3.92,-181.360016,-233.020004,-277.779999,-321.759979,-5.840027,-179.820007,-232.820007,82.879974,39.079987,-5.26001,-178.860001,-230.839996,85.939987,43.439987,-0.039993,184.919998,139.940002,90.179993,43.119995,-0.62001,-172.520004,-194.080002,-216.860001,-234.600006,-249.320007,86.660004,71.639999,57.179993,35.82,20.459999,4.960007,-174.940002,-190.5,-204.960007,-221.5,-236.080002,-254.5,83.940002,62.34,50.119999,30.619991,16.299999,-133.700012,-138.839996,-152.76001,-147.320007,55.860001,71.779999,-247.360001,-82.919998,-87.020004,-78.779999,-91.900002,-197.659988,-197.059982,-203.679977,-202.199982,-201.519989,-199.499985,-198.73999,-208.720001,-215.919998,-215.580002,-214.360001,-212.820007,-211.880005,-210.820007,-224.200012,-224.559998,-224.540009,-224.079987,-227.820007,-227.5,-233.959991,108.119995,107.23999,107.139999,106.880005,106.73999,107.139999,106.399994,93.579994,92.55999,92.499992,92.799995,90.37999,91.959991,90.919991,79.780014,80.460007,80.820007,80.200012,78.380005,74.880005,73.420013,69.160004,66.279999,63.5,63.279999,61.240005,50.160004,48.380005,-2.25999,-208.199997,-208.839996,-205.37999,-32.199989,-29.159992,-43.37999
8,1.02,40.900002,83.899986,-229.460007,-183.12001,0.039978,-321.679993,-275.880005,-229.720001,-184.400009,0.660004,37.859985,83.139984,-231.160004,-185.460022,0.820007,39.180008,85.87999,-227.059998,-180.839996,0.439987,45.87999,85.119995,130.459991,176.399994,1.540001,23.159996,35.399994,55.23999,75.819992,88.699997,-250.740005,-230.440002,-217.300003,-197.940002,-178.679993,2.299999,15.679989,34.039989,51.759998,69.820007,86.699997,-260.519989,-240.639999,-223.820007,-204.540009,-182.919998,-3.98,13.94,27.939999,49.84,65.82,78.900002,-269.76001,-254.0,-239.180008,-219.300003,-210.26001,5.480001,6.860003,0.140001,1.220001,3.119991,4.640001,6.500002,28.880005,22.399994,23.919998,26.179993,29.080002,30.960007,32.679993,48.200001,50.380001,52.380001,55.02,53.060001,55.880001,50.66,55.980003,58.880005,61.0,63.800003,66.5,68.300003,70.760002,74.87999,78.0,81.419991,85.359993,88.819992,91.299995,94.899994,-219.87999,-253.73999,-250.099991,-246.159988,-243.059982,-242.87999,-239.23999,-247.5,-244.839996,-241.580002,-238.5,-234.979996,-242.679993,-238.5,-222.199997,-216.679993,-217.459991,-212.459991,-210.080002,-205.539993,-209.819992
9,-269.540009,-229.540009,-184.740005,-139.040009,-95.020004,-87.380005,-48.52002,-3.240021,-317.039978,-271.23999,-261.399994,-224.380005,-179.139999,-133.060013,-87.540009,-80.639999,-42.539993,4.740005,52.060013,-261.679993,110.799995,156.979996,195.380005,-119.020004,-73.259995,-79.139999,-57.000004,-44.420002,-24.420006,-3.199989,8.479996,29.659996,50.220001,62.179993,82.339996,-258.779999,-240.220001,-221.820007,-209.740005,-188.559998,-168.919998,-151.339996,-140.059998,-122.059982,-104.12001,-83.82,-64.099998,-102.120003,-93.160004,-73.68,-57.959999,-33.279999,-20.18,-8.12,15.920011,41.02,68.419998,81.339996,-265.100006,-262.359985,89.640007,-267.339996,-266.160004,-264.519989,-263.679993,-58.499996,-65.360001,-63.679996,-61.220013,-58.819996,-56.84,-55.140003,-214.880005,-213.019989,-210.299988,-207.720001,-209.76001,-207.26001,-212.5,-25.300003,-22.779999,-20.819992,-18.0,-15.179993,-13.039993,-10.240005,183.5,187.220001,191.119995,195.139999,197.860001,198.520004,204.039993,-48.939999,26.900009,31.660019,34.380005,38.660019,38.800018,41.440018,-129.659988,-119.300011,-115.860001,-111.540001,-109.12001,-115.599998,-113.759995,-288.220001,-296.779999,-285.400024,-295.240021,-282.240021,-284.900024,-286.200012
10,-182.220016,-143.660004,-94.739998,-46.540001,-5.199999,-176.540009,-138.02002,-91.740005,-45.620026,0.399994,-169.5,-132.280014,-86.800018,-40.360016,5.73999,-163.619995,-125.900002,-79.899994,-32.660004,13.600006,207.419998,-107.340012,-67.979996,-22.720001,22.799988,-147.759995,-128.5,-115.279999,-96.120003,-76.18,-62.68,-43.800003,-22.720001,-11.800003,6.759995,25.5,-134.699997,-111.880005,-91.0,-70.639999,-53.459999,-32.68,-20.84,-7.34,9.60001,23.939999,40.880009,-155.699997,-145.020004,-122.800011,-109.620003,-87.220001,-73.68,-61.220001,-42.940002,-28.040001,-20.439999,5.62,-178.039978,-176.059982,-181.639984,-180.939987,-178.899979,-177.759979,-175.759979,-147.160004,-153.360001,-151.940002,-149.400009,-147.220001,-145.160004,-143.540009,-121.640007,-119.420006,-116.960014,-114.94001,-116.720009,-114.080009,-119.140007,-107.539993,-105.279999,-102.899994,-99.699997,-97.199997,-95.080002,-92.559998,-78.979996,-75.819992,-72.240005,-67.720016,-65.780014,-61.180008,-59.12001,-90.660004,-44.119999,-39.599998,-36.139999,-32.520004,-32.520004,-29.160011,-11.779999,-7.879999,-5.859999,-5.619999,-0.779999,-8.6,-3.98,-3.09999,-13.059989,0.10001,-10.059989,-4.37999,-5.67999,-10.659989
